OrderID,Product,Category,Quantify,Price Each,Total Price,Order Date
0,Papas,Vegetales,14,3.0,42.0,2022-04-21
1,Ollas,Utensilios,37,9.39,347.43,2021-03-02
2,Mandarinas,Frutas,58,10.02,581.16,2022-04-12
3,Tenedores,Utensilios,71,1.73,122.83,2022-08-20
4,Bananas,Frutas,56,4.51,252.56,2021-06-17
5,Cuchillo,Utensilios,66,36.58,2414.2799999999997,2023-02-21
6,Tuppers,Otros,75,10.46,784.5000000000001,2021-12-10
7,Tuppers,Otros,78,39.73,3098.9399999999996,2022-08-11
8,Tenedores,Utensilios,46,4.21,193.66,2022-06-14
9,Kiwis,Frutas,99,32.2,3187.8,2021-06-08
10,Morrón,Vegetales,57,24.36,1388.52,2023-10-17
11,Frutillas,Frutas,84,14.13,1186.92,2022-05-15
12,Tuppers,Otros,37,19.4,717.8,2021-10-08
13,Frutillas,Frutas,14,16.77,234.78,2022-03-07
14,Tuppers,Otros,57,16.47,938.79,2022-05-04
15,Guantes,Otros,75,32.86,2464.5,2021-10-27
16,Delantal,Otros,84,35.04,2943.36,2021-07-16
17,Zapallitos,Vegetales,97,4.39,425.83,2023-03-27
18,Botellas,Otros,75,7.13,534.75,2023-10-19
19,Peras,Frutas,8,28.68,229.44,2023-04-28
20,Kiwis,Frutas,65,19.74,1283.1,2023-05-26
21,Tabla,Utensilios,90,34.5,3105.0,2022-11-17
22,Papas,Vegetales,61,39.19,2390.5899999999997,2021-06-28
23,Cuchillo,Utensilios,57,7.88,449.15999999999997,2022-10-12
24,Manzanas,Frutas,48,1.64,78.72,2023-10-10
25,Ollas,Utensilios,62,18.2,1128.3999999999999,2022-01-31
26,Guantes,Otros,14,2.95,41.300000000000004,2022-12-30
27,Cuchillo,Utensilios,66,27.03,1783.98,2022-02-09
28,Sartén,Utensilios,88,35.14,3092.32,2023-03-10
29,Tomates,Vegetales,83,39.88,3310.0400000000004,2023-08-13
30,Peras,Frutas,52,1.47,76.44,2022-02-23
31,Bananas,Frutas,33,15.82,522.0600000000001,2023-03-15
32,Guantes,Otros,40,10.09,403.6,2021-02-01
33,Tenedores,Utensilios,89,9.21,819.69,2022-01-15
34,Cuchillo,Utensilios,73,0.53,38.690000000000005,2021-08-31
35,Mandarinas,Frutas,62,31.19,1933.78,2021-01-22
36,Peras,Frutas,79,24.73,1953.67,2021-12-03
37,Guantes,Otros,59,33.88,1998.92,2023-12-08
38,Zanahorias,Vegetales,98,36.37,3564.2599999999998,2023-08-08
